,gid,위도,경도,sub_cnt,point
291,광교 파출소,37.28470181,127.01773119999999,1,POINT (127.0177312 37.28470181)
292,Na,37.25741771,126.9615203,1,POINT (126.9615203 37.25741771)
293,광교 파출소,37.3026826,127.0063327,1,POINT (127.0063327 37.3026826)
294,Na,37.23967861,127.02929259999999,1,POINT (127.0292926 37.23967861)
295,Na,37.27091236,126.95578470000001,1,POINT (126.9557847 37.27091236)
296,광교 파출소,37.29817578,127.0063621,1,POINT (127.0063621 37.29817578)
297,Na,37.27549574,126.97267120000001,1,POINT (126.9726712 37.27549574)
298,광교 파출소,37.30272913,127.01761609999998,1,POINT (127.0176161 37.30272913)
299,광교 파출소,37.27115818,127.0121781,1,POINT (127.0121781 37.27115818)
300,광교 파출소,37.28920864,127.0177024,1,POINT (127.0177024 37.28920864)
301,광교 파출소,37.29371548,127.0176737,1,POINT (127.0176737 37.29371548)
302,광교 파출소,37.24871464,127.0348742,1,POINT (127.0348742 37.24871464)
303,광교 파출소,37.28460774,126.99516969999999,1,POINT (126.9951697 37.28460774)
304,광교 파출소,37.26216758,127.01787490000001,1,POINT (127.0178749 37.26216758)
305,광교 파출소,37.25322151,127.03484650000001,1,POINT (127.0348465 37.25322151)
306,광교 파출소,37.29362137,126.9951095,1,POINT (126.9951095 37.29362137)
307,광교 파출소,37.26665133,127.01220719999999,1,POINT (127.0122072 37.26665133)
308,광교 파출소,37.25763763,127.0122653,1,POINT (127.0122653 37.25763763)
309,Na,37.23978729,127.05747779999999,1,POINT (127.0574778 37.23978729)
310,광교 파출소,37.298333899999996,127.045852,1,POINT (127.045852 37.2983339)
311,Na,37.29807952,126.9837966,1,POINT (126.9837966 37.29807952)
312,광교 파출소,37.26214448,127.01223619999999,1,POINT (127.0122362 37.26214448)
313,광교 파출소,37.26227903,127.0460685,1,POINT (127.0460685 37.26227903)
314,광교 파출소,37.25315386,127.0179324,1,POINT (127.0179324 37.25315386)
315,광교 파출소,37.27131426,127.0516538,1,POINT (127.0516538 37.27131426)
316,광교 파출소,37.2577061,127.0291804,1,POINT (127.0291804 37.2577061)
317,광교 파출소,37.2936453,127.0007505,1,POINT (127.0007505 37.2936453)
318,광교 파출소,37.25339012,127.07995109999999,1,POINT (127.0799511 37.25339012)
319,광교 파출소,37.29826775,127.0289277,1,POINT (127.0289277 37.29826775)
320,Na,37.23514919,127.02368390000001,1,POINT (127.0236839 37.23514919)
321,Na,37.26640556,126.95581709999999,1,POINT (126.9558171 37.26640556)
322,Na,37.248647,127.01796110000001,1,POINT (127.0179611 37.248647)
323,광교 파출소,37.28913848,127.0007803,1,POINT (127.0007803 37.28913848)
324,광교 파출소,37.30734759,127.04579779999999,1,POINT (127.0457978 37.30734759)
325,Na,37.30253656,126.9724824,1,POINT (126.9724824 37.30253656)
326,Na,37.29359718,126.9894684,1,POINT (126.9894684 37.29359718)
327,Na,37.24886308,127.0743384,1,POINT (127.0743384 37.24886308)
328,광교 파출소,37.26660432,127.0009291,1,POINT (127.0009291 37.26660432)
329,Na,37.29802977,126.9725139,1,POINT (126.9725139 37.29802977)
330,광교 파출소,37.2667859,127.0460415,1,POINT (127.0460415 37.2667859)
331,Na,37.30251128,126.9668408,1,POINT (126.9668408 37.30251128)
