,gid,lbl,val,geometry
12,다사53b19b,1557.00,1557.0,"MULTIPOLYGON (((126.9755066618754 37.27325487492357, 126.9754753927028 37.27776169044684, 126.9811152299243 37.27778654620942, 126.9811461629187 37.27327972665495, 126.9755066618754 37.27325487492357)))"
13,다사54b18a,383.00,383.0,"MULTIPOLYGON (((126.9868774204413 37.25978381835828, 126.9868468440496 37.26429065228294, 126.9924856866483 37.26431495885399, 126.9925159270832 37.25980812098663, 126.9868774204413 37.25978381835828)))"
14,다사53a19a,2336.00,2336.0,"MULTIPOLYGON (((126.9698987661061 37.26872293964604, 126.9698671677909 37.27322975455694, 126.9755066618754 37.27325487492357, 126.975537924089 37.26874805593837, 126.9698987661061 37.26872293964604)))"
15,다사58b18b,1839.00,1839.0,"MULTIPOLYGON (((127.0319577691293 37.2644775853638, 127.0319298742277 37.26898444615309, 127.0375691046271 37.26900660788227, 127.037596663485 37.26449974349836, 127.0319577691293 37.2644775853638)))"
16,다사53b16a,450.00,450.0,"MULTIPOLYGON (((126.9757253513244 37.24170706933476, 126.9756941308301 37.24621390908845, 126.9813316163757 37.24623873664249, 126.9813625012151 37.24173189286091, 126.9757253513244 37.24170706933476)))"
17,다사59b16a,3593.00,3593.0,"MULTIPOLYGON (((127.0433715871909 37.24198724155773, 127.0433443946556 37.24649412677271, 127.0489819577641 37.24651573376292, 127.0490088146264 37.24200884504251, 127.0433715871909 37.24198724155773)))"
18,다사61a15b,3110.00,3110.0,"MULTIPOLYGON (((127.0603094670379 37.23754434792769, 127.0602832873526 37.24205124698269, 127.0659205324938 37.24207204543636, 127.0659463765768 37.23756514300694, 127.0603094670379 37.23754434792769)))"
19,다사54a17a,719.00,719.0,"MULTIPOLYGON (((126.9813007246617 37.25074557696352, 126.9812698260717 37.25525241382385, 126.9869079900285 37.25527698097306, 126.9869385528128 37.25077014012743, 126.9813007246617 37.25074557696352)))"
20,다사52a20a,6.00,6.0,"MULTIPOLYGON (((126.9585559231012 37.27768551109024, 126.9585236382193 37.28219231079488, 126.9641637905825 37.28221797675327, 126.9641957392165 37.27771117288621, 126.9585559231012 37.27768551109024)))"
21,다사60a20a,353.00,353.0,"MULTIPOLYGON (((127.0487937922662 37.27806385804933, 127.0487668875409 37.2825707191232, 127.0544071447124 37.28259208543686, 127.0544337131652 37.27808522089782, 127.0487937922662 37.27806385804933)))"
22,다사53a25a,16.00,16.0,"MULTIPOLYGON (((126.9695191217356 37.32280449002333, 126.9694874389071 37.32731126337509, 126.9751309720509 37.32733643267072, 126.975162317879 37.32282965523891, 126.9695191217356 37.32280449002333)))"
23,다사56b21b,1705.00,1705.0,"MULTIPOLYGON (((127.0092267225036 37.29142729121847, 127.0091974443676 37.29593411643713, 127.0148386672791 37.29595737518907, 127.0148676089282 37.29145054619886, 127.0092267225036 37.29142729121847)))"
24,다사62a17a,682.00,682.0,"MULTIPOLYGON (((127.071506749394 37.25110637670441, 127.0714812238773 37.25561327210365, 127.0771194877119 37.25563354372996, 127.0771446773995 37.25112664504223, 127.071506749394 37.25110637670441)))"
25,다사60b19b,261.00,261.0,"MULTIPOLYGON (((127.0544602757051 37.27357835290286, 127.0544337131652 37.27808522089782, 127.0600736399772 37.27810631505416, 127.0600998663181 37.27359944363801, 127.0544602757051 37.27357835290286)))"
26,다사61a20b,1480.00,1480.0,"MULTIPOLYGON (((127.0600474077982 37.28261318301475, 127.0600211697797 37.28712004751966, 127.065661775055 37.28714087973933, 127.0656876767234 37.28263401185603, 127.0600474077982 37.28261318301475)))"
27,다사50a18a,31.00,31.0,"MULTIPOLYGON (((126.9361311758391 37.25955301202929, 126.9360975759093 37.26405980850981, 126.9417363545611 37.26408653199498, 126.941769618549 37.25957973117976, 126.9361311758391 37.25955301202929)))"
28,다사56a23a,2963.00,2963.0,"MULTIPOLYGON (((127.003496978952 37.30492422125178, 127.0034673445484 37.3094310322737, 127.0091095708478 37.30945457133289, 127.0091388685413 37.30494775649449, 127.003496978952 37.30492422125178)))"
29,다사58a22a,1770.00,1770.0,"MULTIPOLYGON (((127.0261211323555 37.29600308611163, 127.0260928573917 37.30050991905549, 127.0317344359731 37.30053237486541, 127.0317623743707 37.29602553828035, 127.0261211323555 37.29600308611163)))"
30,다사52b23a,1715.00,1715.0,"MULTIPOLYGON (((126.9640039407019 37.30475194413733, 126.9639719493719 37.30925872722283, 126.9696141279169 37.30928414918408, 126.969645782548 37.30477736197684, 126.9640039407019 37.30475194413733)))"
31,다사63a22a,346.00,346.0,"MULTIPOLYGON (((127.082533823331 37.29621550885935, 127.0825089140928 37.30072237625298, 127.0881505514979 37.30074214295768, 127.0881751241561 37.29623527235888, 127.082533823331 37.29621550885935)))"
32,다사53b20a,1620.00,1620.0,"MULTIPOLYGON (((126.9754753927028 37.27776169044684, 126.9754441165698 37.282268502508, 126.9810842900441 37.28229336230227, 126.9811152299243 37.27778654620942, 126.9754753927028 37.27776169044684)))"
33,다사59a19a,4638.00,4638.0,"MULTIPOLYGON (((127.0375691046271 37.26900660788227, 127.0375415396346 37.27351346880931, 127.0431811122886 37.27353536548761, 127.043208341161 37.26902850100909, 127.0375691046271 37.26900660788227)))"
34,다사54a24b,44.00,44.0,"MULTIPOLYGON (((126.9808365229234 37.31834776640827, 126.9808055209992 37.32285455133965, 126.9864487310212 37.32287917832451, 126.9864793960167 37.31837238940081, 126.9808365229234 37.31834776640827)))"
35,다사52b15b,856.00,856.0,"MULTIPOLYGON (((126.9644829571621 37.23714978226322, 126.9644510724601 37.24165661729232, 126.9700882083811 37.24168197747823, 126.9701197575063 37.23717513833462, 126.9644829571621 37.23714978226322)))"
36,다사59a22b,455.00,455.0,"MULTIPOLYGON (((127.0373760207739 37.30055456176879, 127.0373484127994 37.30506139849349, 127.0429903403889 37.30508332004382, 127.0430176117194 37.30057647976471, 127.0373760207739 37.30055456176879)))"
37,다사53a22b,1454.00,1454.0,"MULTIPOLYGON (((126.9696774301338 37.30027057130611, 126.969645782548 37.30477736197684, 126.9752876314393 37.30480251087701, 126.9753189423995 37.30029571612862, 126.9696774301338 37.30027057130611)))"
38,다사53b24a,17.00,17.0,"MULTIPOLYGON (((126.9752249886063 37.3138160899846, 126.9751936567303 37.31832287434349, 126.9808365229234 37.31834776640827, 126.9808675179473 37.31384097801391, 126.9752249886063 37.3138160899846)))"
39,다사53b23a,26.00,26.0,"MULTIPOLYGON (((126.9752876314393 37.30480251087701, 126.9752563135088 37.30930930216238, 126.9808985060726 37.3093341861567, 126.980929487301 37.3048273908368, 126.9752876314393 37.30480251087701)))"
40,다사62b18a,3368.00,3368.0,"MULTIPOLYGON (((127.0770942924172 37.26014043896409, 127.0770690915142 37.26464733074445, 127.082708032841 37.26466734038406, 127.082732897764 37.26016044535798, 127.0770942924172 37.26014043896409)))"
41,다사63a18b,2218.00,2217.9999999999995,"MULTIPOLYGON (((127.082708032841 37.26466734038406, 127.0826831623831 37.2691742319566, 127.0883224453006 37.26919397623305, 127.0883469797026 37.26468708145797, 127.082708032841 37.26466734038406)))"
42,다사60a19b,650.00,650.0,"MULTIPOLYGON (((127.0488206910036 37.27355699351909, 127.0487937922662 37.27806385804933, 127.0544337131652 37.27808522089782, 127.0544602757051 37.27357835290286, 127.0488206910036 37.27355699351909)))"
43,다사56b20b,671.00,671.0,"MULTIPOLYGON (((127.0092852592285 37.2824136304019, 127.0092559941233 37.28692046254001, 127.014896544136 37.2869437137493, 127.0149254729041 37.28243687784055, 127.0092852592285 37.2824136304019)))"
44,다사55a20a,2656.00,2656.0,"MULTIPOLYGON (((126.9923949249494 37.277835451694, 126.9923646575798 37.28234227571947, 126.9980048514915 37.2823663293404, 126.9980347826035 37.27785950141396, 126.9923949249494 37.277835451694)))"
45,다사54b23b,662.00,662.0,"MULTIPOLYGON (((126.9865407055334 37.30935880116598, 126.9865100541869 37.31386559701459, 126.9921525972501 37.31388994698563, 126.9921829118163 37.30938314718925, 126.9865407055334 37.30935880116598)))"
