,gid,lbl,val,geometry,경도,위도
578,ㅼ궗57aa18bb,777.00,777.0,"MULTIPOLYGON (((127.0150266729009 37.26666292492094, 127.0150122205847 37.26891634936062, 127.0178318255587 37.26892786670087, 127.0178461938604 37.2666744413271, 127.0150266729009 37.26666292492094)))",127.01642922825201,37.26779540117332
570,ㅼ궗57aa16bb,773.00,773.0,"MULTIPOLYGON (((127.0151422335491 37.24863549827831, 127.0151277940937 37.25088892963451, 127.017946727214 37.25090043950364, 127.0179610827298 37.2486470072138, 127.0151422335491 37.24863549827831)))",127.01654445942252,37.24976797424988
982,ㅼ궗60ba21bb,768.00,768.0,"MULTIPOLYGON (((127.0543406977023 37.29385923166372, 127.0543274038627 37.29611265831682, 127.0571480393058 37.2961232458477, 127.0571612490162 37.29386981833616, 127.0543406977023 37.29385923166372)))",127.0557443474954,37.294991244142565
710,ㅼ궗58aa19aa,767.00,767.0,"MULTIPOLYGON (((127.0262906500376 37.26896201582247, 127.0262765322092 37.27121544310138, 127.0290962275479 37.27122669275415, 127.0291102613518 37.2689732645629, 127.0262906500376 37.26896201582247)))",127.02769341781185,37.270094359656646
745,ㅼ궗58ab19bb,765.00,765.0,"MULTIPOLYGON (((127.0290681552542 37.2757335465435, 127.0290541167642 37.27798697214151, 127.0318740657949 37.27799815735963, 127.0318880202322 37.27574473085456, 127.0290681552542 37.2757335465435)))",127.03047108953645,37.27686585732258
196,ㅼ궗53ab22ba,760.00,760.0,"MULTIPOLYGON (((126.9724981853909 37.3002831773294, 126.9724824466302 37.3025365741198, 126.9753032877906 37.30254911393568, 126.9753189423995 37.30029571612862, 126.9724981853909 37.3002831773294)))",126.97390071558078,37.301416150981034
144,ㅼ궗52bb19bb,760.00,760.0,"MULTIPOLYGON (((126.9670315375474 37.27547049876594, 126.9670156499451 37.27772390303048, 126.969835562442 37.27773656600542, 126.9698513659958 37.275483160714, 126.9670315375474 37.27547049876594)))",126.96843352901094,37.27660353772661
993,ㅼ궗60bb17bb,758.00,758.0,"MULTIPOLYGON (((127.0573724045695 37.25781486065132, 127.0573592183597 37.26006830198564, 127.0601785103259 37.26007880865789, 127.060191612556 37.25782536647137, 127.0573724045695 37.25781486065132)))",127.05877543647638,37.258946840035755
717,ㅼ궗58aa20bb,752.00,752.0,"MULTIPOLYGON (((127.0261917922366 37.28473598862077, 127.0261776634057 37.28698940984814, 127.0289979471779 37.28700066588887, 127.0290119919187 37.28474724374878, 127.0261917922366 37.28473598862077)))",127.02759484870991,37.28586833262623
84,ㅼ궗51bb19ab,751.00,751.0,"MULTIPOLYGON (((126.9557846836994 37.27091237653358, 126.955768463516 37.27316577836791, 126.958588200798 37.27317870792205, 126.9586043369525 37.27092530503916, 126.9557846836994 37.27091237653358)))",126.95718642127045,37.27204554756239
107,ㅼ궗52aa21bb,749.00,749.0,"MULTIPOLYGON (((126.9584428945692 37.29345929490248, 126.9584267404469 37.29571268912601, 126.9612473203307 37.29572556195661, 126.9612633903303 37.29347216668936, 126.9584428945692 37.29345929490248)))",126.95984508644806,37.29459243376988
33,ㅼ궗50ba19ba,749.00,749.0,"MULTIPOLYGON (((126.9416698043706 37.27310012323147, 126.9416531621937 37.27535351887509, 126.9444729743935 37.27536678529322, 126.9444895325332 37.27311338857374, 126.9416698043706 37.27310012323147)))",126.9430713684025,37.27423345959052
319,ㅼ궗54ba21aa,742.00,742.0,"MULTIPOLYGON (((126.9866938599675 37.28682476999275, 126.9866785521932 37.28907817700453, 126.9894988971953 37.28909037473532, 126.9895141208729 37.28683696673449, 126.9866938599675 37.28682476999275)))",126.9880963575845,37.28795757771673
