,gid,lbl,val,geometry,경도,위도
11,다사58a14b,47.00,47.0,"MULTIPOLYGON (((127.02654450248 37.22840017700281, 127.0265163217564 37.23290706181023, 127.032152859701 37.23292946304727, 127.0321807049801 37.22842257460509, 127.02654450248 37.22840017700281)))",127.02934859733031,37.230664841470265
12,다사53a15a,4291.00,4291.0,"MULTIPOLYGON (((126.9701512996108 37.23266829572981, 126.9701197575063 37.23717513833462, 126.9757565648711 37.2372002261202, 126.9757877714718 37.2326933794449, 126.9701512996108 37.23266829572981)))",126.97295384847797,37.234934282264454
13,다사53b19b,4456.00,4456.0,"MULTIPOLYGON (((126.9755066618754 37.27325487492357, 126.9754753927028 37.27776169044684, 126.9811152299243 37.27778654620942, 126.9811461629187 37.27327972665495, 126.9755066618754 37.27325487492357)))",126.97831086196668,37.27552073194848
14,다사54b18a,1105.00,1105.0,"MULTIPOLYGON (((126.9868774204413 37.25978381835828, 126.9868468440496 37.26429065228294, 126.9924856866483 37.26431495885399, 126.9925159270832 37.25980812098663, 126.9868774204413 37.25978381835828)))",126.9896814696647,37.26204940999945
15,다사53a19a,6506.00,6506.0,"MULTIPOLYGON (((126.9698987661061 37.26872293964604, 126.9698671677909 37.27322975455694, 126.9755066618754 37.27325487492357, 126.975537924089 37.26874805593837, 126.9698987661061 37.26872293964604)))",126.97270263007798,37.27098892865234
16,다사58b18b,4546.00,4546.0,"MULTIPOLYGON (((127.0319577691293 37.2644775853638, 127.0319298742277 37.26898444615309, 127.0375691046271 37.26900660788227, 127.037596663485 37.26449974349836, 127.0319577691293 37.2644775853638)))",127.03476335296672,37.26674211810737
17,다사53b16a,1311.00,1311.0,"MULTIPOLYGON (((126.9757253513244 37.24170706933476, 126.9756941308301 37.24621390908845, 126.9813316163757 37.24623873664249, 126.9813625012151 37.24173189286091, 126.9757253513244 37.24170706933476)))",126.97852840004802,37.243972924346025
18,다사59b16a,9898.00,9898.0,"MULTIPOLYGON (((127.0433715871909 37.24198724155773, 127.0433443946556 37.24649412677271, 127.0489819577641 37.24651573376292, 127.0490088146264 37.24200884504251, 127.0433715871909 37.24198724155773)))",127.04617668865646,37.2442515091489
19,다사57a24b,23.00,23.0,"MULTIPOLYGON (((127.0146938623622 37.31849146824462, 127.0146648820339 37.32299827647559, 127.0203081318919 37.32302128874426, 127.0203367752821 37.31851447678274, 127.0146938623622 37.31849146824462)))",127.01750091299503,37.320756399988255
20,다사61a15b,8095.00,8095.0,"MULTIPOLYGON (((127.0603094670379 37.23754434792769, 127.0602832873526 37.24205124698269, 127.0659205324938 37.24207204543636, 127.0659463765768 37.23756514300694, 127.0603094670379 37.23754434792769)))",127.06311491595889,37.239808218199855
21,다사54a17a,2179.00,2179.0,"MULTIPOLYGON (((126.9813007246617 37.25074557696352, 126.9812698260717 37.25525241382385, 126.9869079900285 37.25527698097306, 126.9869385528128 37.25077014012743, 126.9813007246617 37.25074557696352)))",126.98410427350406,37.25301130034365
22,다사52a20a,23.00,23.0,"MULTIPOLYGON (((126.9585559231012 37.27768551109024, 126.9585236382193 37.28219231079488, 126.9641637905825 37.28221797675327, 126.9641957392165 37.27771117288621, 126.9585559231012 37.27768551109024)))",126.96135977289478,37.27995176527442
23,다사60a20a,1464.00,1464.0,"MULTIPOLYGON (((127.0487937922662 37.27806385804933, 127.0487668875409 37.2825707191232, 127.0544071447124 37.28259208543686, 127.0544337131652 37.27808522089782, 127.0487937922662 37.27806385804933)))",127.05160038451686,37.280327993270824
24,다사53a25a,59.00,59.0,"MULTIPOLYGON (((126.9695191217356 37.32280449002333, 126.9694874389071 37.32731126337509, 126.9751309720509 37.32733643267072, 126.975162317879 37.32282965523891, 126.9695191217356 37.32280449002333)))",126.97232496275522,37.325070482756715
25,다사52a19b,10.00,9.999999999999998,"MULTIPOLYGON (((126.958588200798 37.27317870792205, 126.9585559231012 37.27768551109024, 126.9641957392165 37.27771117288621, 126.9642276807402 37.27320436555608, 126.958588200798 37.27317870792205)))",126.96139188607893,37.27544496175328
26,다사56b21b,5019.00,5019.0,"MULTIPOLYGON (((127.0092267225036 37.29142729121847, 127.0091974443676 37.29593411643713, 127.0148386672791 37.29595737518907, 127.0148676089282 37.29145054619886, 127.0092267225036 37.29142729121847)))",127.0120326108736,37.293692354665474
