gid,lbl,val,geometry,경도,위도
가나61ba17ab,817,817,"MULTIPOLYGON (((127.0658558971162 37.25333928639863, 127.0658429657244 37.25559273200041, 127.068662094086 37.25560303561159, 127.0686749415162 37.25334958917403, 127.0658558971162 37.25333928639863)))",127.067259,37.25447117
가나50aa21ab,817,817,"MULTIPOLYGON (((126.93591264256 37.28884712720995, 126.9358958192086 37.29110051462054, 126.9387162162142 37.29111392297285, 126.9387329554633 37.28886053447508, 126.93591264256 37.28884712720995)))",126.9373144,37.28998053
가나61aa20bb,817,817,"MULTIPOLYGON (((127.060034289519 37.28486661569918, 127.0600211697797 37.28712004751966, 127.062841471692 37.28713049722707, 127.0628545073391 37.28487706455924, 127.060034289519 37.28486661569918)))",127.0614379,37.28599856
가나61bb20ab,816,816,"MULTIPOLYGON (((127.0685206779511 37.28039088942641, 127.0685078133524 37.28264432550016, 127.0713279514132 37.28265457195982, 127.071340731938 37.28040113505517, 127.0685206779511 37.28039088942641)))",127.0699243,37.28152274
가나54ba22ba,815,815,"MULTIPOLYGON (((126.986601987762 37.30034519908228, 126.9865866697624 37.30259860090148, 126.9894075195411 37.30261080456786, 126.9894227533879 37.30035740175926, 126.986601987762 37.30034519908228)))",126.9880047,37.30147801
가나55bb19ab,807,807,"MULTIPOLYGON (((127.0008993459879 37.27111117423962, 127.000884470292 37.27336459219736, 127.0037042351852 37.27337644720748, 127.003719026849 37.27112302828832, 127.0008993459879 37.27111117423962)))",127.0023018,37.27224382
가나62ab18ba,805,805,"MULTIPOLYGON (((127.0742496229498 37.26463722521276, 127.0742369363861 37.26689066898807, 127.0770564889592 37.26690077533943, 127.0770690915142 37.26464733074445, 127.0742496229498 37.26463722521276)))",127.075653,37.26576901
가나58ab15ba,803,803,"MULTIPOLYGON (((127.0293065707127 37.23742517913428, 127.0292925587558 37.23967861942509, 127.0321110801612 37.23968978923036, 127.0321250082242 37.23743634803338, 127.0293065707127 37.23742517913428)))",127.0307088,37.23855749
가나55bb23aa,796,796,"MULTIPOLYGON (((127.0006760366261 37.30491235277584, 127.0006611360763 37.30716575775712, 127.0034821625748 37.30717762719534, 127.003496978952 37.30492422125178, 127.0006760366261 37.30491235277584)))",127.0020791,37.306045
가나60ba16ba,794,794,"MULTIPOLYGON (((127.0546195268505 37.24653707236677, 127.0546062640428 37.24879051716235, 127.0574251347372 37.24880108667651, 127.057438313612 37.24654764102352, 127.0546195268505 37.24653707236677)))",127.0560223,37.24766908
가나56ab18ba,793,793,"MULTIPOLYGON (((127.0065828224311 37.26437455036807, 127.0065681197092 37.26662797283765, 127.0093876358159 37.26663969067609, 127.0094022545334 37.26438626725614, 127.0065828224311 37.26437455036807)))",127.0079852,37.26550713
가나59ab16ab,786,786,"MULTIPOLYGON (((127.0405392963132 37.244229781342, 127.0405256153665 37.24648322263299, 127.0433443946556 37.24649412677271, 127.0433579916797 37.24424068459717, 127.0405392963132 37.244229781342)))",127.0419418,37.24536196
가나61bb20aa,784,784,"MULTIPOLYGON (((127.0685335411181 37.27813745248892, 127.0685206779511 37.28039088942641, 127.071340731938 37.28040113505517, 127.0713535110405 37.27814769728682, 127.0685335411181 37.27813745248892)))",127.0699371,37.2792693
