gid,여성인구비율,cctv개수,가로등개수,경찰서접근성
다사57a15b,0.350877193,1,133,0.745
다사58a20b,0.350090654,2,40,0.612
다사53b19a,0.350079171,1,33,1.599
다사59b20a,0.349845201,1,32,1.633
다사61a18b,0.349735958,2,83,1.165
다사53b19b,0.349416517,1,81,1.157
다사53a22b,0.349015843,3,142,0.633
다사58a15b,0.348828275,3,89,1.654
다사55b23b,0.34852071,1,27,2.017
다사56a21a,0.348264104,3,46,1.222
다사50a18b,0.348148148,1,27,2.431
다사56b17a,0.347879859,1,100,1.326
다사49b19a,0.347368421,1,9,2.376
다사54a16b,0.346755725,1,39,0.889
다사57a19b,0.346678399,2,113,1.071
다사54b18a,0.346606335,2,64,2.179
다사54b23b,0.346596859,1,70,0.352
다사54b23a,0.346418877,3,57,0.467
다사56a18b,0.346122282,2,33,1.067
다사51b18a,0.345405405,1,90,5.645
다사50a18a,0.344444444,1,8,2.882
다사57b19b,0.343712091,3,39,1.365
다사55b21b,0.343709468,5,32,1.045
다사56a23b,0.343642612,1,18,2.464
다사53b18b,0.343300748,2,41,1.433
다사53b16a,0.343249428,1,140,2.193
다사53a21b,0.340332458,1,31,1.709
다사52b20a,0.339901478,1,75,1.887
다사56b21b,0.339709105,2,69,0.443
다사56a17b,0.339045288,2,122,1.663
다사56b17b,0.338451592,4,60,1.534
다사58b15b,0.338394794,1,44,3.511
다사53a20a,0.338170625,1,102,0.191
다사61a19b,0.337743191,1,26,1.54
다사50b19a,0.337234504,1,120,1.645
다사58a21b,0.337116279,3,35,0.843
다사56b19a,0.334093129,2,107,0.483
다사54a19a,0.333980044,1,28,2.043
다사55a23b,0.33380401,2,38,1.032
다사50b18b,0.333333333,1,55,1.845
다사56b18a,0.332541568,3,106,1.159
다사57a19a,0.330326461,2,89,0.891
다사54a17a,0.329967875,2,85,0.47
다사56b18b,0.329198051,3,79,0.46
다사55a23a,0.328992186,1,49,1.24
다사56a17a,0.327454719,1,68,1.862
다사52a17b,0.326904986,1,181,2.228
다사56a19a,0.32527842,2,85,0.592
다사57a18b,0.324723247,1,66,0.552
다사56b21a,0.323466585,2,71,0.904
다사52a21b,0.322513089,2,115,1.93
다사53a22a,0.321460112,4,116,0.09
다사53b23b,0.321428571,1,48,1.194
다사57a26a,0.321428571,1,13,6.617
다사61a18a,0.321198331,1,57,1.301
다사56a19b,0.320965309,3,33,0.627
다사57b15a,0.320556024,3,138,1.472
다사54b18b,0.320084567,3,67,1.63
다사57b21b,0.319806024,1,89,0.683
다사56b20a,0.318952234,1,5,1.819
다사58a22a,0.31505874,4,77,1.391
다사61a17b,0.314485981,2,36,2.377
다사57a21b,0.31429652,3,71,1.115
다사57a21a,0.313601596,3,68,1.09
다사58b22a,0.312796209,1,13,2.326
다사55b19a,0.310464611,1,76,0.297
다사55b24a,0.30952381,1,11,1.991
다사56b20b,0.306953339,1,80,1.208
다사57b21a,0.306520704,1,82,0.596
다사57b20a,0.304814233,3,26,1.054
다사57b22a,0.302009274,1,45,1.266
다사55b18b,0.297239915,5,76,0.916
다사60a16b,0.293395675,2,61,1.712
다사60b22a,0.289473684,1,76,2.372
다사57b20b,0.286508633,2,21,0.997
다사59b20b,0.285714286,1,8,1.672
다사55a18a,0.285524568,1,145,1.525
다사53b24a,0.283333333,1,6,1.557
다사50b18a,0.282828283,1,21,2.3
다사57a20b,0.282593857,2,85,0.695
다사56a16b,0.278787879,1,7,1.996
다사60b18a,0.278409091,1,28,2.704
다사50b21b,0.277777778,1,52,0.857
다사60b17b,0.276960784,1,73,2.007
다사54b16a,0.276190476,1,83,1.91
다사54b16b,0.27027027,1,70,0.699
다사53b15b,0.268292683,1,139,2.233
다사52a20a,0.260869565,1,5,2.318
다사58a22b,0.255813954,1,33,1.846
다사58b21b,0.253363229,1,50,0.189
다사52b17a,0.25210084,1,28,1.882
다사54a16a,0.25,1,117,2.364
다사55a17b,0.247933884,1,85,1.222
다사53b23a,0.247619048,1,29,1.593
다사61b17b,0.243902439,1,44,1.856
다사52b20b,0.242424242,1,70,1.085
다사60a20a,0.241120219,1,82,1.361
