gid,ratio,geometry,경도,위도
다사58b17b,0.412105263,"MULTIPOLYGON (((127.0320135403104 37.25546385341395, 127.0319856578231 37.25997072111738, 127.0376242162098 37.25999287565772, 127.037651762803 37.25548600436052, 127.0320135403104 37.25546385341395)))",127.0348188,37.25772839
다사60a18a,0.404825737,"MULTIPOLYGON (((127.0489013513036 37.26003637919184, 127.0488744705209 37.26454325409021, 127.0545133830516 37.2645646065457, 127.054539927861 37.26005772818382, 127.0489013513036 37.26003637919184)))",127.0517073,37.26230051
다사58b18b,0.404531456,"MULTIPOLYGON (((127.0319577691293 37.2644775853638, 127.0319298742277 37.26898444615309, 127.0375691046271 37.26900660788227, 127.037596663485 37.26449974349836, 127.0319577691293 37.2644775853638)))",127.0347634,37.26674212
다사62a17a,0.403789224,"MULTIPOLYGON (((127.071506749394 37.25110637670441, 127.0714812238773 37.25561327210365, 127.0771194877119 37.25563354372996, 127.0771446773995 37.25112664504223, 127.071506749394 37.25110637670441)))",127.074313,37.25336998
다사62a21a,0.403783194,"MULTIPOLYGON (((127.0713023860962 37.28716144317791, 127.0712768150881 37.29166831094096, 127.0769177682479 37.29168860888922, 127.0769430028284 37.28718173783459, 127.0713023860962 37.28716144317791)))",127.07411,37.28942505
다사52b16b,0.402922756,"MULTIPOLYGON (((126.9644191806613 37.2461634488596, 126.9643872817639 37.25067027696488, 126.9700250890626 37.25069564538121, 126.9700566522338 37.24618881316048, 126.9644191806613 37.2461634488596)))",126.9672221,37.24842957
다사58b16b,0.402842928,"MULTIPOLYGON (((127.0320692866715 37.24645010763673, 127.0320414165927 37.25095698225368, 127.0376793032658 37.2509791296069, 127.0377068375999 37.24647225139701, 127.0320692866715 37.24645010763673)))",127.0348742,37.24871464
다사53b15a,0.402630463,"MULTIPOLYGON (((126.9757877714718 37.2326933794449, 126.9757565648711 37.2372002261202, 126.9813933791818 37.23722504561891, 126.9814242502772 37.23271819491667, 126.9757877714718 37.2326933794449)))",126.9785905,37.23495923
다사59b21b,0.401611047,"MULTIPOLYGON (((127.0430721361727 37.29156278883411, 127.0430448769802 37.29606963602809, 127.0486861374248 37.29609128160528, 127.0487130601216 37.29158443090132, 127.0430721361727 37.29156278883411)))",127.0458791,37.29382706
다사60b18b,0.401422579,"MULTIPOLYGON (((127.0545133830516 37.2645646065457, 127.0544868323334 37.26907148145209, 127.0601260868223 37.2690925687665, 127.0601523014911 37.26458569043973, 127.0545133830516 37.2645646065457)))",127.0573197,37.26682861
다사59a16b,0.401401565,"MULTIPOLYGON (((127.0377068375999 37.24647225139701, 127.0376793032658 37.2509791296069, 127.0433171960677 37.25100100853199, 127.0433443946556 37.24649412677271, 127.0377068375999 37.24647225139701)))",127.0405119,37.24873665
다사58a19b,0.401251467,"MULTIPOLYGON (((127.0262624128095 37.27346886951584, 127.0262341692958 37.27797571975135, 127.0318740657949 37.27799815735963, 127.0319019731167 37.27349130348507, 127.0262624128095 37.27346886951584)))",127.0290682,37.27573353
다사59a18b,0.400514348,"MULTIPOLYGON (((127.037596663485 37.26449974349836, 127.0375691046271 37.26900660788227, 127.043208341161 37.26902850100909, 127.0432355639738 37.26452163307412, 127.037596663485 37.26449974349836)))",127.0404024,37.26676414
다사58b21a,0.400419287,"MULTIPOLYGON (((127.0318182325131 37.28701185473579, 127.0317903065502 37.29151869823709, 127.0374312182906 37.29154087794573, 127.0374588078356 37.28703403084769, 127.0318182325131 37.28701185473579)))",127.0346246,37.28927639
다사59a17b,0.400325468,"MULTIPOLYGON (((127.037651762803 37.25548600436052, 127.0376242162098 37.25999287565772, 127.0432627807282 37.26001476168285, 127.0432899914257 37.25550788683542, 127.037651762803 37.25548600436052)))",127.0404572,37.2577504
다사62b17b,0.40021322,"MULTIPOLYGON (((127.0771194877119 37.25563354372996, 127.0770942924172 37.26014043896409, 127.082732897764 37.26016044535798, 127.0827577571536 37.25565354687852, 127.0771194877119 37.25563354372996)))",127.0799261,37.25789702
다사60b21a,0.400180996,"MULTIPOLYGON (((127.0543805703453 37.28709894651981, 127.0543539900625 37.29160580414651, 127.0599949259205 37.29162690856875, 127.0600211697797 37.28712004751966, 127.0543805703453 37.28709894651981)))",127.0571877,37.28936295
다사58a16b,0.400167347,"MULTIPOLYGON (((127.0264317419452 37.2464276954928, 127.0264035361232 37.25093456647326, 127.0320414165927 37.25095698225368, 127.0320692866715 37.24645010763673, 127.0264317419452 37.2464276954928)))",127.0292365,37.24869236
다사59b15a,0.4,"MULTIPOLYGON (((127.0434259541089 37.23297346076127, 127.0433987736748 37.23748035288719, 127.0490356655122 37.23750195286696, 127.0490625104229 37.23299505723641, 127.0434259541089 37.23297346076127)))",127.0462307,37.23523773
다사50b20a,0.4,"MULTIPOLYGON (((126.9416365181646 37.27760691365246, 126.9416032245492 37.28211370060839, 126.9472433551278 37.28214017272137, 126.9472763125004 37.27763338147228, 126.9416365181646 37.27760691365246)))",126.9444399,37.27987356
다사60b15a,0.399805762,"MULTIPOLYGON (((127.0546990727106 37.23301638545578, 127.0546725633248 37.23752328454741, 127.0603094670379 37.23754434792769, 127.0603356408974 37.23303744541851, 127.0546990727106 37.23301638545578)))",127.0575042,37.23528039
다사61b17a,0.399033571,"MULTIPOLYGON (((127.065868827069 37.25108583993325, 127.0658429657244 37.25559273200041, 127.0714812238773 37.25561327210365, 127.071506749394 37.25110637670441, 127.065868827069 37.25108583993325)))",127.0686749,37.25334958
