,gid,sgg_nm_e,value,geometry
34,다사51a20b,"Gwonseon-gu, Suwon-si",5.088,"MULTIPOLYGON (((126.9472433551278 37.28214017272137, 126.9472103904187 37.28664696050578, 126.9528508646531 37.2866731681517, 126.9528834930428 37.28216637611725, 126.9472433551278 37.28214017272137)))"
35,다사51a21a,"Gwonseon-gu, Suwon-si",1.532,"MULTIPOLYGON (((126.9472103904187 37.28664696050578, 126.9471774183716 37.2911537448253, 126.9528182290003 37.29117995672179, 126.9528508646531 37.2866731681517, 126.9472103904187 37.28664696050578)))"
36,다사51a21b,"Gwonseon-gu, Suwon-si",1.53,"MULTIPOLYGON (((126.9471774183716 37.2911537448253, 126.9471444389847 37.29566052567984, 126.9527855860825 37.2956867418274, 126.9528182290003 37.29117995672179, 126.9471774183716 37.2911537448253)))"
37,다사51a22a,"Gwonseon-gu, Suwon-si",2.01,"MULTIPOLYGON (((126.9471444389847 37.29566052567984, 126.9471114522562 37.30016730306922, 126.952752935898 37.30019352346835, 126.9527855860825 37.2956867418274, 126.9471444389847 37.29566052567984)))"
38,다사51b16b,"Gwonseon-gu, Suwon-si",3.028,"MULTIPOLYGON (((126.9531442588868 37.24611191514335, 126.953111688542 37.25061873488709, 126.9587494815655 37.25064464013316, 126.9587817161874 37.24613781618688, 126.9531442588868 37.24611191514335)))"
39,다사51b17a,"Gwonseon-gu, Suwon-si",2.278,"MULTIPOLYGON (((126.953111688542 37.25061873488709, 126.9530791109476 37.25512555116772, 126.9587172397686 37.25515146061682, 126.9587494815655 37.25064464013316, 126.953111688542 37.25061873488709)))"
40,다사51b17b,"Gwonseon-gu, Suwon-si",2.348,"MULTIPOLYGON (((126.9530791109476 37.25512555116772, 126.9530465261017 37.25963236398506, 126.9586849907951 37.25965827763768, 126.9587172397686 37.25515146061682, 126.9530791109476 37.25512555116772)))"
41,다사51b18a,"Gwonseon-gu, Suwon-si",5.645,"MULTIPOLYGON (((126.9530465261017 37.25963236398506, 126.9530139340029 37.26413917333898, 126.9586527346433 37.26416509119561, 126.9586849907951 37.25965827763768, 126.9530465261017 37.25963236398506)))"
42,다사51b18b,"Gwonseon-gu, Suwon-si",1.384,"MULTIPOLYGON (((126.9530139340029 37.26413917333898, 126.9529813346492 37.26864597922929, 126.9586204713114 37.26867190129045, 126.9586527346433 37.26416509119561, 126.9530139340029 37.26413917333898)))"
43,다사51b19a,"Gwonseon-gu, Suwon-si",0.829,"MULTIPOLYGON (((126.9529813346492 37.26864597922929, 126.9529487280391 37.27315278165588, 126.958588200798 37.27317870792205, 126.9586204713114 37.26867190129045, 126.9529813346492 37.26864597922929)))"
44,다사51b19b,"Gwonseon-gu, Suwon-si",0.844,"MULTIPOLYGON (((126.9529487280391 37.27315278165588, 126.9529161141709 37.27765958061858, 126.9585559231012 37.27768551109024, 126.958588200798 37.27317870792205, 126.9529487280391 37.27315278165588)))"
45,다사51b20a,"Gwonseon-gu, Suwon-si",1.462,"MULTIPOLYGON (((126.9529161141709 37.27765958061858, 126.9528834930428 37.28216637611725, 126.9585236382193 37.28219231079488, 126.9585559231012 37.27768551109024, 126.9529161141709 37.27765958061858)))"
46,다사51b20b,"Gwonseon-gu, Suwon-si",2.255,"MULTIPOLYGON (((126.9528834930428 37.28216637611725, 126.9528508646531 37.2866731681517, 126.9584913461508 37.28669910703584, 126.9585236382193 37.28219231079488, 126.9528834930428 37.28216637611725)))"
47,다사51b21a,"Gwonseon-gu, Suwon-si",2.25,"MULTIPOLYGON (((126.9528508646531 37.2866731681517, 126.9528182290003 37.29117995672179, 126.9584590468939 37.29120589981292, 126.9584913461508 37.28669910703584, 126.9528508646531 37.2866731681517)))"
48,다사51b21b,"Gwonseon-gu, Suwon-si",1.721,"MULTIPOLYGON (((126.9528182290003 37.29117995672179, 126.9527855860825 37.2956867418274, 126.9584267404469 37.29571268912601, 126.9584590468939 37.29120589981292, 126.9528182290003 37.29117995672179)))"
