gid,여성인구비율,cctv개수,가로등개수,경찰서접근성,
다사60a19a,0.242651994,0.5,0.277153558,0.028926224,-0.505575341
다사61a16a,0.24234194,0,0.254681648,0.104382761,0.092043053
다사59a18a,0.242088331,0.166666667,0.08988764,0.076917458,0.062451482
다사56b16a,0.24151011,0,0.074906367,0.020160701,0.186764444
다사59a16a,0.241456717,0,0.265917603,0.120160701,0.095699815
다사51b19a,0.24142779,0.166666667,0.464419476,0.053981008,-0.335677345
다사58a18b,0.241089737,0,0.142322097,0.073046019,0.171813659
다사61a21b,0.240998665,0,0,0.275748722,0.516747386
다사53a18b,0.24073269,0,0.198501873,0.107596786,0.149827603
다사58a15a,0.240526733,0,0.191011236,0.149379109,0.198894606
다사58a16a,0.23995001,0,0.254681648,0.10642805,0.091696412
다사54b21a,0.239920645,0.166666667,0.310861423,0.077136596,-0.160470849
다사57b17b,0.239764476,0.166666667,0.303370787,0.051862673,-0.178410304
다사59a15b,0.23967792,0,0.134831461,0.195105917,0.299952376
다사50a21b,0.239151985,0,0.288389513,0.05193572,0.002698191
다사56b23a,0.23911038,0.333333333,0.239700375,0.133747261,-0.200176067
다사59a19b,0.238798261,0.333333333,0.217228464,0.083783784,-0.227979753
다사55b21a,0.238325661,0.666666667,0.254681648,0.092622352,-0.590400302
다사55b22a,0.238270918,0.333333333,0.262172285,0.067859752,-0.289374948
다사51a18b,0.238194453,0.166666667,0.258426966,0.105405405,-0.081493774
다사50a21a,0.238000115,0.166666667,0.108614232,0.081008035,0.043727251
다사52b23a,0.237790528,0,0.142322097,0.106135866,0.201604296
다사52a16b,0.237639195,0,0.059925094,0.195836377,0.373550478
다사54b20b,0.237375945,0.166666667,0.359550562,0.041271001,-0.247570282
다사51b17b,0.237211059,0,0.232209738,0.164937911,0.169939232
다사60b15b,0.237032885,0.333333333,0.374531835,0.031409788,-0.439422495
다사58a17b,0.237020528,0.5,0.292134831,0.049379109,-0.505735194
다사51a19a,0.236652083,0,0.078651685,0.974799123,1.132799521
다사60b20a,0.236387034,0,0.052434457,0.171219869,0.355172445
다사55a18b,0.236202919,0,0.359550562,0.085975164,-0.037372478
다사58b23b,0.235468539,0,0.071161049,0.80642805,0.97073554
다사57a22b,0.235257318,0.5,0.198501873,0.12220599,-0.341038565
다사52a16a,0.234754025,0,0.269662921,0.214901388,0.179992491
다사55b18a,0.234744646,0,0.554307116,0.112929145,-0.206633324
다사52a15b,0.234508324,0,0.187265918,0.289116143,0.33635855
다사58b19b,0.234346847,0,0.213483146,0.023813002,0.044676703
다사61b20a,0.234100271,0,0.239700375,0.104528853,0.098928749
다사50a19b,0.233800924,0,0.262172285,0.151278305,0.122906944
다사52b22a,0.233228678,0.166666667,0.052434457,0.036815194,0.050942748
다사51b18b,0.233094454,0.5,0.411985019,0.094521549,-0.584369016
다사62a16b,0.233026866,0.666666667,0.333333333,0.092914536,-0.674058598
다사53a20b,0.232785185,0.333333333,0.228464419,0.08312637,-0.245886198
다사51a19b,0.231855315,0,0.325842697,0.257633309,0.163645928
다사54b22b,0.231465001,0.333333333,0.149812734,0.075529584,-0.176151483
다사60b19a,0.231426776,0,0.314606742,0.075164354,-0.008015612
다사50a19a,0.23088451,0,0.209737828,0.128853178,0.14999986
다사55a22b,0.230863223,0,0.198501873,0.066106647,0.098467998
다사57a17a,0.229803226,0.5,0.310861423,0.100949598,-0.480108599
다사56a18a,0.229747444,0.166666667,0.441947566,0.091088386,-0.287778402
다사57a16b,0.229211995,0.5,0.397003745,0.078816654,-0.588975095
다사52a22a,0.229177727,0,0.123595506,0.150766983,0.256349205
다사53b16b,0.229118024,0.333333333,0.228464419,0.060482104,-0.272197625
