gid,geometry,경도,위도,여성인구비율,cctv개수,가로등개수,경찰서접근성,총점
다사51a22a,"MULTIPOLYGON (((126.9471444389847 37.29566052567984, 126.9471114522562 37.30016730306922, 126.952752935898 37.30019352346835, 126.9527855860825 37.2956867418274, 126.9471444389847 37.29566052567984)))",126.9499486,37.29792705,0.248895148,0,0.108614232,0.140248356,0.280529273
다사52a17a,"MULTIPOLYGON (((126.9587494815655 37.25064464013316, 126.9587172397686 37.25515146061682, 126.9643553757663 37.25517710160803, 126.9643872817639 37.25067027696488, 126.9587494815655 37.25064464013316)))",126.9615523,37.25291089,0.250092528,0,0.101123596,0.127757487,0.27672642
다사55b24a,"MULTIPOLYGON (((126.997795147062 37.31391402792602, 126.9977651626041 37.3184208281651, 127.0034080559481 37.31844464393484, 127.0034377035476 37.31393783983476, 126.997795147062 37.31391402792602)))",127.0006015,37.31617936,0.157296722,0,0.033707865,0.138860482,0.262449339
다사58a23b,"MULTIPOLYGON (((127.0260362885793 37.30952357456677, 127.0260079947278 37.31403039713386, 127.0316505834574 37.31405286386989, 127.0316785405179 37.30954603766033, 127.0260362885793 37.30952357456677)))",127.0288434,37.31178824,0.060829372,0,0.007490637,0.206135866,0.259474601
다사52a22a,"MULTIPOLYGON (((126.9584267404469 37.29571268912601, 126.9583944268082 37.30021947497492, 126.9640359249117 37.30024515758785, 126.964067902003 37.29573836757456, 126.9584267404469 37.29571268912601)))",126.9612312,37.29797894,0.229177727,0,0.123595506,0.150766983,0.256349205
다사55b23b,"MULTIPOLYGON (((126.9978251248463 37.30940722422549, 126.997795147062 37.31391402792602, 127.0034377035476 37.31393783983476, 127.0034673445484 37.3094310322737, 126.9978251248463 37.30940722422549)))",127.0006313,37.31167255,0.209055657,0,0.093632959,0.140759679,0.256182376
다사60a18a,"MULTIPOLYGON (((127.0489013513036 37.26003637919184, 127.0488744705209 37.26454325409021, 127.0545133830516 37.2645646065457, 127.054539927861 37.26005772818382, 127.0489013513036 37.26003637919184)))",127.0517073,37.26230051,0.283786935,0,0.172284644,0.143462381,0.254964672
다사56b19b,"MULTIPOLYGON (((127.0093437699011 37.27339995574739, 127.0093145178206 37.27790679480432, 127.0149543952338 37.27793003847275, 127.0149833111269 37.27342319564606, 127.0093437699011 37.27339995574739)))",127.012149,37.27566502,0.21911209,0,0.052434457,0.085025566,0.251703199
다사52a20a,"MULTIPOLYGON (((126.9585559231012 37.27768551109024, 126.9585236382193 37.28219231079488, 126.9641637905825 37.28221797675327, 126.9641957392165 37.27771117288621, 126.9585559231012 37.27768551109024)))",126.9613598,37.27995177,0.092720003,0,0.011235955,0.16274653,0.244230578
다사61b17a,"MULTIPOLYGON (((127.065868827069 37.25108583993325, 127.0658429657244 37.25559273200041, 127.0714812238773 37.25561327210365, 127.071506749394 37.25110637670441, 127.065868827069 37.25108583993325)))",127.0686749,37.25334958,0.276099239,0,0.194756554,0.159751644,0.241094328
다사49b19b,"MULTIPOLYGON (((126.9303909103332 37.27304639029154, 126.9303569517964 37.27755317199652, 126.9359967312384 37.27758017716017, 126.9360303536106 37.2730733910754, 126.9303909103332 37.27304639029154)))",126.9331937,37.27531331,0.245994088,0,0.157303371,0.151789627,0.240480345
다사56a16b,"MULTIPOLYGON (((127.0038816265553 37.24633536309904, 127.0038520777751 37.25084221909812, 127.0094899326831 37.25086570857804, 127.0095191457261 37.2463588487683, 127.0038816265553 37.24633536309904)))",127.0066857,37.24860056,0.116502222,0,0.018726592,0.139225712,0.237001343
다사54a19a,"MULTIPOLYGON (((126.9811770890291 37.268772903639, 126.9811461629187 37.27327972665495, 126.9867856708462 37.27330430975004, 126.9868162608518 37.26879748274692, 126.9811770890291 37.268772903639)))",126.9839813,37.27103863,0.189756446,0,0.097378277,0.142658875,0.235037044
