gid,Longitude,Latitude
다사56a19b,127.0065093,37.27564164
다사53a20b,126.9726083,37.28450936
다사54b20b,126.9895293,37.28458355
다사57a19a,127.0178175,37.27118128
다사60b21b,127.0571612,37.29386981
다사53b15b,126.9785594,37.23946608
다사56a19a,127.0065387,37.2711348
다사54a17a,126.9841043,37.2530113
다사53b16b,126.9784973,37.24847976
다사53b22a,126.9781553,37.29805478
다사52a21b,126.9612634,37.29347216
다사56a18a,127.0065975,37.26212112
다사55b22a,127.0007207,37.29815212
다사61a17a,127.0630369,37.2533289
다사54b18b,126.9896511,37.26655624
다사60b16a,127.0574515,37.24429418
다사57a20a,127.01776,37.28019497
다사57a19b,127.0177887,37.27568813
다사56a17b,127.0066269,37.25761427
다사55a18a,126.9953201,37.26207358
다사54b23a,126.989377,37.3071176
다사57a20b,127.0177312,37.28470181
다사52a17b,126.9615203,37.25741771
다사56a22b,127.0063327,37.3026826
다사58a15b,127.0292926,37.23967861
다사51b19a,126.9557847,37.27091236
다사56a22a,127.0063621,37.29817578
다사53a19b,126.9726712,37.27549574
다사57a22b,127.0176161,37.30272913
다사56b19a,127.0121781,37.27115818
다사57a21a,127.0177024,37.28920864
다사57a21b,127.0176737,37.29371548
다사58b16b,127.0348742,37.24871464
다사55a20b,126.9951697,37.28460774
다사57a18a,127.0178749,37.26216758
다사58b17a,127.0348465,37.25322151
다사55a21b,126.9951095,37.29362137
다사56b18b,127.0122072,37.26665133
다사56b17b,127.0122653,37.25763763
다사60b15b,127.0574778,37.23978729
다사59b22a,127.045852,37.2983339
다사54a22a,126.9837966,37.29807952
다사56b18a,127.0122362,37.26214448
다사59b18a,127.0460685,37.26227903
다사57a17a,127.0179324,37.25315386
다사60a19a,127.0516538,37.27131426
다사58a17b,127.0291804,37.2577061
다사55b21b,127.0007505,37.2936453
다사62b17a,127.0799511,37.25339012
다사58a22a,127.0289277,37.29826775
다사57b15a,127.0236839,37.23514919
다사51b18b,126.9558171,37.26640556
다사57a16b,127.0179611,37.248647
다사55b21a,127.0007803,37.28913848
다사59b23a,127.0457978,37.30734759
다사53a22b,126.9724824,37.30253656
다사54b21b,126.9894684,37.29359718
다사62a16b,127.0743384,37.24886308
다사55b18b,127.0009291,37.26660432
다사53a22a,126.9725139,37.29802977
다사59b18b,127.0460415,37.2667859
다사52b22b,126.9668408,37.30251128
